Name,Type
供给管道 HD / 637B,Entity
电磁换向球阀 MBA53AA002,Entity
产品部,Entity
MBA53AA005-Y01-S21,Entity
HF / 639B,Entity
24个月或36个月,Entity
运输文档签署之日起算,Entity
伤害,Entity
NS1 / 644A,Entity
氧气,Entity
粉尘浓度较高的环境,Entity
中文,Entity
电机,Entity
工作介质含半液态或固态材质,Entity
蓄能器已泄压,Entity
电磁阀 MBA53AA006,Entity
存在爆炸风险的环境,Entity
MBA53AA002-Y01-S11,Entity
飞溅部件,Entity
电磁阀 MBA53AA001,Entity
所有电气连接,Entity
操作管道 NS2 / 645A,Entity
溢流阀 MBA53AA191,Entity
HE/638B,Entity
降压器,Entity
溢出,Entity
滑倒危险,Entity
上海电气燃气轮机有限公司,Entity
操作不当造成损坏,Entity
压力表 MBA51CP501,Entity
MBA51AA255,Entity
保修范围,Entity
MBA53AA191,Entity
系统压力,Entity
剩余压力,Entity
压缩空气,Entity
气泡,Entity
压力变送器 MBA51CP001,Entity
仪表针阀 MBA51AA301,Entity
主推力端管道 HS1 / 643A,Entity
泵出口压力,Entity
6个月,Entity
2023.05,Entity
24个月,Entity
部件缺陷,Entity
仪表针阀 MBA51AA305,Entity
孙博,Entity
蓄能器压力,Entity
污染,Entity
爆炸,Entity
严重人体伤害,Entity
电磁换向球阀 MBA53AA003,Entity
2,Entity
MBA53AA001-Y01-S21,Entity
MBA53AA281,Entity
眼睛,Entity
故障,Entity
存在油气挥发物质的环境,Entity
泵入口管截止阀 MBA51AA252,Entity
MBA51BB002,Entity
环境温度0°C至40°C,Entity
正常功能,Entity
HS1 / 643A,Entity
J11,Entity
压力变送器 MBA51CP103,Entity
填充,Entity
致残性严重事故,Entity
180 bar,Entity
蓄能器填充阀,Entity
氮气填充器,Entity
节流阀 MBA54AA282,Entity
溢流阀 MBA51AA192,Entity
处理,Entity
溢流阀 MBA51AA194,Entity
压力变送器 MBA51CP102,Entity
MBA51AA252,Entity
用户,Entity
连接,Entity
球阀,Entity
压力,Entity
温度监控装置连线,Entity
皮肤,Entity
4 L/min,Entity
周蕾,Entity
人员安全,Entity
未正确连接管道至用户机组,Entity
旋转方向,Entity
溢流阀 MBA54AA191,Entity
设备损坏,Entity
测量设备,Entity
安全数据单,Entity
泵 MBA51AP002-KP01,Entity
蓄能器三通阀 MBA51AA255,Entity
SGC手册,Entity
安装条件不符合3.3.2要求,Entity
张洁,Entity
专业电气人员,Entity
填充蓄能器,Entity
擅自改造模块,Entity
60°,Entity
1 L/min,Entity
节流阀 MBA53AA282,Entity
MBA51AP001-KP01 + MBA51AP001-M01-E01,Entity
压力传感器MBA51CP101,Entity
辅助推力端管道 NS4 / 645A,Entity
SGC,Entity
异常,Entity
冲洗,Entity
MBA54AA281,Entity
瑞荟流体技术有限公司,Entity
安全检查员指挥,Entity
高火灾风险的环境,Entity
溢流阀 MBA51AA191,Entity
仪表针阀 MBA51AA303,Entity
表格,Entity
温度,Entity
压力计,Entity
嘴部,Entity
蓄能器三通阀,Entity
MBA51BB001,Entity
说明,Entity
MBA53AA301,Entity
泵 MBA51AP001-KP01,Entity
安全措施,Entity
排气操作,Entity
启动泵,Entity
纯度,Entity
三角形警告标志,Entity
蓄能器流体侧,Entity
填充器,Entity
火灾,Entity
氮气罐,Entity
固定水平面,Entity
操作温度,Entity
系统,Entity
压力变送器 MBA51CP101,Entity
210 bar,Entity
HD / 637B,Entity
未遵守SGC手册要求,Entity
氮气填充蓄能器,Entity
MBA53AA006-Y01-S11,Entity
MBA51AA256,Entity
MBA51AA194,Entity
维修工作,Entity
返回管道 HF / 639B,Entity
吸附处理,Entity
蓄能器三通阀 MBA51AA256,Entity
节流阀 MBA54AA281,Entity
皮囊式蓄能器,Entity
流体侧压力,Entity
ISO VG46,Entity
供给管道 HE / 638B,Entity
操作管道 HS1 / 643A,Entity
操作须知,Entity
26,Entity
液压流体溢出,Entity
管道,Entity
泵,Entity
MBA51AA251,Entity
具备专业资质人员完成,Entity
调试,Entity
电磁换向球阀 MBA53AA004,Entity
截止固件,Entity
液压流体,Entity
底座安装孔,Entity
损坏,Entity
油体流出,Entity
压力变送器 MBA51CP002,Entity
电磁阀 MBA53AA003,Entity
安装调试说明书,Entity
燃机RDS模块安装调试手册,Entity
电磁换向球阀 MBA53AA005,Entity
填充压力,Entity
仪表针阀 MBA51AA304,Entity
氮气管道,Entity
维护工作,Entity
燃机RDS模块,Entity
36个月,Entity
蓄能器,Entity
操作管道 NS1 / 644A,Entity
MBA51AA193,Entity
压力传感器MBA51CP103,Entity
电磁阀 MBA53AA005,Entity
风机风轮,Entity
MBA53AA282,Entity
NS2 / 645A,Entity
泵入口管截止阀 MBA51AA251,Entity
初版[默认],Entity
电击,Entity
模块未通电,Entity
停运,Entity
MBA53AA003-Y01-S11,Entity
传感器零区,Entity
电机 MBA51AP01-M01-E01,Entity
00,Entity
MBA54AA282,Entity
警告符号,Entity
压力表 MBA51CP502,Entity
RDS模块,Entity
1,Entity
安全须知,Entity
箭头,Entity
AE94.3A/AE94.2,Entity
溢流阀 MBA54AA192,Entity
无三角形警告标志,Entity
物位开关连线,Entity
存在有毒性气体的环境,Entity
已断开与管路连接,Entity
节流阀 MBA53AA281,Entity
仪表针阀 MBA51AA302,Entity
操作管道 HS2 / 642A,Entity
电磁换向球阀 MBA53AA006,Entity
轻度人体伤害,Entity
系统冲洗,Entity
RDS,Entity
清洁度,Entity
阀门,Entity
未通电,Entity
死亡,Entity
辅助推力端管道 NS3 / 644A,Entity
截止阀门,Entity
运行介质温度低于30℃,Entity
所有部件处于安全状态,Entity
电磁换向球阀 MBA53AA001,Entity
氮气,Entity
压力表 MBA51CP503,Entity
所有液压连接,Entity
事故,Entity
DG50011918,Entity
主推力端管道 HS2 / 642A,Entity
至少1米,Entity
溢流阀 MBA51AA193,Entity
液压流体喷溅,Entity
MBA53AA306,Entity
泵入口管,Entity
刘海博,Entity
制造商,Entity
MBA51AP002-KP01 + MBA51AP002-M02-E01,Entity
蓄能器系统,Entity
HS2 / 642A,Entity
开路状态,Entity
压力传感器MBA51CP102,Entity
接口HE的给压,Entity
管路,Entity
测量仪器管道,Entity
警告信息,Entity
否则可能导致爆炸或液压流体喷溅，造成严重事故。,Event
检查了电机旋转方向。,Event
所有非由模块部件缺陷引起的运行失效和/或损坏均不在质保范围内。,Event
如果因为污染而导致故障、停运和设备损坏，则不在SGC保修范围内。,Event
在存在剩余压力的情况下，传感器零区和压力计不精确会导致无法读取压力。,Event
上海电气燃气轮机有限公司拥有燃机RDS模块安装调试手册的产权。,Event
电磁阀 MBA53AA001 和 MBA53AA003 通电。,Event
使用警告符号提醒注意与人员安全相关的问题。,Event
关闭系统后必须采取安全措施并立即解决故障。,Event
在起吊模块前，必须确认模块重心在支架范围内。,Event
以保证起吊过程稳定，防止倾覆或坠落。,Event
在完成安装后，必须准备调试。,Event
在球阀闭合的情况下操作泵，即使时间很短，也会损坏泵。,Event
处理液压流体前必须阅读并遵守相关安全数据单的要求。,Event
因此必须非常缓慢地打开管路和阀门，逐渐释放压力。,Event
蓄能器系统在开路状态下放电可能导致爆炸。,Event
警告信息按危险程度由高到低排列，表示可能导致死亡或严重人体伤害。,Event
在进行所有维护或维修工作之前，必须释放流体侧的压力。,Event
在拆包后，必须立即检查模块外观和连接接口。,Event
排气直到液压流体没有气泡溢出为止。,Event
制造商已经冲洗了RDS，不需要再对RDS进行冲洗处理。,Event
如果电机连接有误，可能因为电击而发生事故。,Event
在完成冲洗系统后，才能进行下一步调试。,Event
在起吊操作前，须确认操作区域内无人员。,Event
以确保操作人员安全，防止电击或高压喷射伤害。,Event
管道的冲洗及清洁度非 SGC 负责。,Event
如果使用不当的气体填充，则有爆炸风险。,Event
一定不要使用氧气或压缩空气填充蓄能器。,Event
在填充皮囊式蓄能器时，应参考相关表格。,Event
如果旋转方向有误，应重新连接相应的电机。,Event
直至压力表读数为 210bar 为止。,Event
进行调试的前提条件是顺利完成所有操作（8.2.1 到 8.2.7）。,Event
本安装调试说明书并未详细介绍氮气填充器的情况。,Event
冲洗了整个系统。,Event
与设备损坏相关的说明不带三角形警告标志。,Event
针对每个管道的冲洗操作应以达到所需的纯度为标准。,Event
管道的冲洗及清洁度非SGC负责。,Event
在短时间内依次重新开关两个电机以检查旋转方向是否符合箭头方向。,Event
绝不能安装在可移动平面上，也不能安装在竖直平面或者倾斜平面上。,Event
如果因为污染而导致故障、停运和设备损坏，则不在 SGC 保修范围内。,Event
顺时针锁紧 MBA51AA191 的锁紧螺母，至此 MBA51AA191 整定完毕。,Event
以确认设备在运输过程中未受损。,Event
在进行调整或维修工作时必须使用合适的工具和设备。,Event
无三角形警告标志的信息表示可能导致设备损坏。,Event
蓄能器系统放电可能导致飞溅部件和液压流体喷溅，造成死亡或致残性严重事故。,Event
只有在相关球阀MBA51AA251或MBA51AA252打开的情况下，才能启动泵。,Event
必须确保电机的旋转方向符合箭头所指方向。,Event
燃机RDS模块安装调试手册的页码范围为1至26。,Event
液压流体喷溅会产生危险，可能导致伤害或火灾。,Event
泵入口管的截止固件MBA51AA251必须处于打开状态。,Event
燃机RDS模块安装调试手册的文件类型为系统代码J11。,Event
在进行维护或维修工作前，必须释放流体侧的压力。,Event
在进行后面的调试操作之前，必须确保电机的旋转方向符合箭头所指方向。,Event
需要冲洗 RDS 上的供给和返回管道以及到轮机的操作管道。,Event
使用电机上的风机风轮来检查泵的旋转方向。,Event
填充蓄能器，给系统加压。,Event
在连接电气线路前，必须确认电源已断开。,Event
步骤1：切换蓄能器三通阀MBA51AA255和MBA51AA256以释放蓄能器流体侧的压力并将其与系统隔离。,Event
逆时针旋转 MBA53AA191 每下降 5bar 停顿 20S，直至压力表读数为 210bar。,Event
关于与填充器相关的详细操作信息，请参见填充器操作须知。,Event
以确保系统处于安全状态，避免运行故障。,Event
在 RDS 上进行任何操作之前，都需要通过检查来确认系统的压力已经释放。,Event
确定每个泵从 p1 到 p2 的填充时间。,Event
必须由专业电气人员来完成连接。,Event
否则可能导致爆炸或喷射事故。,Event
使用测量设备上的截止固件对测量仪器管道进行排气操作。,Event
泵入口管的截止固件MBA51AA252必须处于打开状态。,Event
必须使用降压器，如果氮气罐中的氮气压力高于皮囊式蓄能器中允许的压力。,Event
否则可能导致系统故障或设备损坏。,Event
在完成所有检查后，才能启动系统进行调试。,Event
需要冲洗RDS上的供给管道HD / 637B和HE/638B。,Event
缓慢将 MBA54AA192 顺时针旋紧，压力表每上升 10bar 需停顿 10S。,Event
调试前需完成检查清单并确认所有连接正常。,Event
压力传感器MBA51CP101、MBA51CP102和MBA51CP103监控蓄能器压力。,Event
提供填充的氮气罐以及皮囊式蓄能器的填充器。,Event
在确认模块未通电且蓄能器已泄压后，方可进行维护工作。,Event
步骤5：在取下填充器之前，释放氮气管道的压力或关闭填充器处的氮气管道。,Event
步骤6：取下填充器。,Event
爆发溢出的液压流体会产生危险。,Event
在填充或置换运行介质期间禁止吸烟和明火。,Event
调试时必须遵守蓄能器系统安全须知。,Event
优先设定 MBA54AA191、MBA54AA192 的 210bar。,Event
以确保系统安全，防止压力异常造成危险。,Event
燃机RDS模块的质保期为业主验收模块开始24个月或模块最终测试后36个月。,Event
检查所有管道连接是否有泄漏。,Event
管道的冲洗操作应以达到所需的纯度为标准。,Event
在短时间内依次重新开关两个电机（缓动），以检查旋转方向是否符合箭头方向。,Event
在打开管路或拆卸阀门时如果有油体流出，表示有剩余压力。,Event
在对系统进行排气操作之前，应检查泵入口管的截止阀门MBA51AA251和MBA51AA252是否打开。,Event
使用测量设备上的截止固件MBA53AA301到MBA53AA306对测量仪器管道进行排气操作。,Event
燃机RDS模块安装调试手册的版本为00。,Event
使用氮气填充了蓄能器。,Event
顺时针锁紧 MBA54AA192 的锁紧螺母。至此 MBA54AA192 整定完毕。,Event
燃机RDS模块安装调试手册的保密等级为2。,Event
释放系统压力的操作顺序：打开阀 MBA51AA255 和 MBA51AA256，将蓄能器压力释放到罐中。,Event
依次启动泵 MBA51AP001-KP01 和 MBA51AP002-KP01，检测压力开关 MBA51CP001 和 MBA51CP002。,Event
如果压力过大，可能损坏设备。,Event
燃机RDS模块安装调试手册的编制人员为周蕾、张洁、刘海博、孙博。,Event
只能使用纯度不低于99.995%的氮气填充蓄能器。,Event
如果有泄漏，必须马上修复。,Event
顺时针旋紧 MBA51AA191 至紧，并回退半圈。,Event
以防止电击事故。,Event
液压流体溢出必须立即按照安全数据单要求进行吸附处理并清除。,Event
系统必须在完全正常功能下操作，发现异常必须立即关闭系统。,Event
启动 MBA51AP001 油泵，此时系统三个压力表读数应为 0bar。,Event
必须遵照相关说明，尤其要遵守氮气填充器制造商给出的安全须知。,Event
如果在球阀闭合的情况下操作泵，即时时间很短，也会损坏泵。,Event
在运输到安装地点之前，应检查可用空间。,Event
步骤3：填充皮囊式蓄能器。,Event
燃机RDS模块安装调试手册的编写部门为产品部。,Event
顺时针旋紧 MBA54AA192，并回退半圈。,Event
必须保证有所需的氮气压力。,Event
燃机RDS模块安装调试手册的文档编号为DG50011918。,Event
若用户未严格遵守SGC手册要求，因操作不当造成模块损坏，质保失效。,Event
在设置液压连接线路前，必须确保管道已冲洗完毕。,Event
溢出的液压流体会导致滑倒危险。,Event
燃机RDS模块安装调试手册的批准日期为2023年5月。,Event
模块必须安装在固定的水平面上。,Event
以避免意外启动或操作不当引发安全事故。,Event
在连接到 RDS 之前，要连接的管道应该已经冲洗完毕。,Event
需要冲洗到轮机的操作管道HS1 / 643A、HS2 / 642A、NS1 / 644A和NS2 / 645A。,Event
如果电机的旋转方向不正确，会损坏泵。,Event
防止绷紧带末端松开晃动，避免伤及人体。,Event
否则系统可能因污染而损坏。,Event
在使用氮气填充蓄能器前，必须确认蓄能器已泄压。,Event
在模块运行期间禁止进行维修操作。,Event
在对 RDS 进行排气操作之前，必须完成检查。,Event
步骤2：将填充器连接到蓄能器填充阀。,Event
步骤7：调整蓄能器三通阀MBA51AA255至正确位置。,Event
打开管道和阀门的时候，速度要特别慢，以便缓慢释放压力。,Event
燃机RDS模块安装调试手册的语言为中文。,Event
以防止火灾或爆炸风险。,Event
需要冲洗RDS上的返回管道HF / 639B。,Event
燃机RDS模块安装调试手册的版本修改描述为初版[默认]。,Event
若用户未经SGC同意擅自对模块进行改造，质保失效。,Event
否则可能导致机械伤害、电击或烫伤等安全事故。,Event
燃机RDS模块安装调试手册的产品/结构为AE94.3A/AE94.2。,Event
在割开绷紧带前，应戴好防护手套。,Event
在 SGC 选择的合适点对主推力端管道进行排气。,Event
对于溢出的液压流体，必须按照液压流体安全数据单的规定立即进行吸附处理并将其除去。,Event
启动电机 MBA51AP01-M01-E01。,Event
制造商已经冲洗了 RDS，不需要再对 RDS 进行冲洗处理。,Event
在对系统进行排气操作之前，应检查如下设置：泵入口管的截止阀门打开。,Event
在排气过程中不需要使用蓄能器，因此蓄能器三通阀MBA51AA255和MBA51AA256无需操作。,Event
打开管路或拆卸阀门时如有油体流出，表示存在剩余压力。,Event
只能使用纯度不低于 99.995%的氮气。,Event
可以启动两个泵中的一个从而启动 RDS 模块。,Event
在 SGC 选择的合适点对辅助推力端管道进行排气。,Event
燃机RDS模块安装调试手册的标题为燃机RDS模块安装调试手册。,Event
警告信息表示可能导致轻度人体伤害。,Event
未经上海电气燃气轮机有限公司书面同意，不得擅自复制、转让、披露或提供燃机RDS模块安装调试手册。,Event
如果氮气罐中的氮气压力高于皮囊式蓄能器中允许的压力，则氮气填充器必须配备一个降压器。,Event
起吊操作必须听从负责起吊安全的安全检查员的统一指挥。,Event
安全数据单中说明了流体接触皮肤、眼睛或嘴部的处理方法。,Event
在调试前必须检查所有液压连接。,Event
必须非常缓慢地打开管路和阀门，逐渐释放压力。,Event
只有当没有液压流体溢出且无剩余压力时，才能完全打开管路或拆下阀门。,Event
应定期检查系统是否有损坏或故障。,Event
顺时,Event
只有在没有液压流体溢出，并且没有残余压力的情况下，才能完全打开管道或拆卸阀门。,Event
只有在确保运输路线和安装地点为 RDS 提供了足够空间的情况下，才能将其运输到安装地点。,Event
在给 RDS 加压之前，应检查如下设置：泵入口管的截止阀门打开。,Event
步骤4：确定在操作温度以外的其它温度下的填充压力。,Event
通电,Relation
包含液压泵组,Relation
包含流量调节阀,Relation
包含安全阀,Relation
使用液压油,Relation
质保失效条件包括,Relation
制造,Relation
设定流量,Relation
质保期为,Relation
之前,Relation
资料编号为,Relation
启动,Relation
安装于,Relation
配备降压器,Relation
需在干燥无尘环境中存放,Relation
提供氮气,Relation
之后,Relation
is participated by,Relation
质保期自,Relation
监控,Relation
需要冲洗,Relation
得电时关闭,Relation
维护操作前需确认,Relation
调试前需检查,Relation
设定压力,Relation
起吊时绳索与箱体夹角应大于,Relation
调试时需进行,Relation
调试时需使用,Relation
包含电磁阀,Relation
存放时间不超过,Relation
需保持与墙面距离,Relation
显示压力,Relation
起吊操作需听从,Relation
必须打开,Relation
因为,Relation
必须在起吊前确认,Relation
使用氮气,Relation
拥有产权,Relation
禁止在以下环境使用,Relation
维护操作需由,Relation
连接至,Relation
必须关闭,Relation
包含蓄能器,Relation
检查压力,Relation
隔离系统,Relation
释放压力,Relation
得电时打开,Relation
需固定于,Relation
