:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
CHANGXING_1 电厂,10 号机组,包含,"['包含在内', '容纳', '包含', '涵盖', '包括']",[],0,Relation
10 号机组,HAD 主系统,配置,"['安排', '设置', '配备', '布置']",[],1,Relation
HAD 主系统,55 区域,划分有,"['分类', '划分', '包含', '分割', '划分范围']",[],2,Relation
55 区域,设备 AA101,部署,"['实施', '配置', '安排', '布置', '派遣']",[],3,Relation
设备 AA101,AA,设备类型是,"['设备类别', '设备分类', '属于类型', '类型归属']",[],4,Relation
设备 AA101,101,设备序列号是,"['唯一识别码', '设备唯一码', '设备编码', '序列标识']",[],5,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,10HAD55AA101XQ11XQ12,的核心KKS码为,"['主要代码', '核心码', '核心标识', '核心编码']",[],6,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,XQ11XQ12,无效代码标识为,"['标记为无效', '标示为非法', '识别为无效', '标注为错误']",[],7,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,中压汽包连排电动调节阀,功能描述为,"['实现功能', '执行作用', '承担职责', '提供服务']",[],8,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,%,测量值单位为,"['单位制', '单位', '量纲', '测量单位', '标准单位']",[],9,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,设备 AA101,用于监测,"['侦测工具', '监测用途', '监控功能', '用于检测']",[],10,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,AA,用于监测的设备类型为,"['测量仪器', '监控工具', '传感装置', '检测装置', '监测设备']",[],11,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,101,用于监测的设备序列号为,"['监测设备编号', '设备监测标识', '监测用序列号', '监测编号关联']",[],12,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,CHANGXING_1 电厂,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],13,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,10 号机组,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],14,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,55 区域,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],15,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,HAD 主系统,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],16,Relation
10 号机组,MAD 主系统,配置,"['安排', '设置', '配备', '布置']",[],17,Relation
MAD 主系统,13 区域,划分有,"['分类', '划分', '包含', '分割', '划分范围']",[],18,Relation
13 区域,设备 CT014,部署,"['实施', '配置', '安排', '布置', '派遣']",[],19,Relation
设备 CT014,CT,设备类型是,"['设备类别', '设备分类', '属于类型', '类型归属']",[],20,Relation
设备 CT014,014,设备序列号是,"['唯一识别码', '设备唯一码', '设备编码', '序列标识']",[],21,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,10MAD13CT014A232203OUT,的核心KKS码为,"['主要代码', '核心码', '核心标识', '核心编码']",[],22,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,A232203OUT,无效代码标识为,"['标记为无效', '标示为非法', '识别为无效', '标注为错误']",[],23,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,Output Value,功能描述为,"['实现功能', '执行作用', '承担职责', '提供服务']",[],24,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,null,测量值单位为,"['单位制', '单位', '量纲', '测量单位', '标准单位']",[],25,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,设备 CT014,用于监测,"['侦测工具', '监测用途', '监控功能', '用于检测']",[],26,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,CT,用于监测的设备类型为,"['测量仪器', '监控工具', '传感装置', '检测装置', '监测设备']",[],27,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,014,用于监测的设备序列号为,"['监测设备编号', '设备监测标识', '监测用序列号', '监测编号关联']",[],28,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,CHANGXING_1 电厂,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],29,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,10 号机组,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],30,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,13 区域,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],31,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,MAD 主系统,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],32,Relation
HEFEI_1 电厂,01 号机组,包含,"['包含在内', '容纳', '包含', '涵盖', '包括']",[],33,Relation
01 号机组,LAC 主系统,配置,"['安排', '设置', '配备', '布置']",[],34,Relation
LAC 主系统,20 区域,划分有,"['分类', '划分', '包含', '分割', '划分范围']",[],35,Relation
20 区域,设备 BG112,部署,"['实施', '配置', '安排', '布置', '派遣']",[],36,Relation
设备 BG112,BG,设备类型是,"['设备类别', '设备分类', '属于类型', '类型归属']",[],37,Relation
设备 BG112,112,设备序列号是,"['唯一识别码', '设备唯一码', '设备编码', '序列标识']",[],38,Relation
测点SGC.HEFEI_1.01LAC20BG112,01LAC20BG112,的核心KKS码为,"['主要代码', '核心码', '核心标识', '核心编码']",[],39,Relation
测点SGC.HEFEI_1.01LAC20BG112,null,无效代码标识为,"['标记为无效', '标示为非法', '识别为无效', '标注为错误']",[],40,Relation
测点SGC.HEFEI_1.01LAC20BG112,中压给水泵A驱动端径向轴承座Y向振动,功能描述为,"['实现功能', '执行作用', '承担职责', '提供服务']",[],41,Relation
测点SGC.HEFEI_1.01LAC20BG112,null,测量值单位为,"['单位制', '单位', '量纲', '测量单位', '标准单位']",[],42,Relation
测点SGC.HEFEI_1.01LAC20BG112,设备 BG112,用于监测,"['侦测工具', '监测用途', '监控功能', '用于检测']",[],43,Relation
测点SGC.HEFEI_1.01LAC20BG112,BG,用于监测的设备类型为,"['测量仪器', '监控工具', '传感装置', '检测装置', '监测设备']",[],44,Relation
测点SGC.HEFEI_1.01LAC20BG112,112,用于监测的设备序列号为,"['监测设备编号', '设备监测标识', '监测用序列号', '监测编号关联']",[],45,Relation
测点SGC.HEFEI_1.01LAC20BG112,HEFEI_1 电厂,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],46,Relation
测点SGC.HEFEI_1.01LAC20BG112,01 号机组,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],47,Relation
测点SGC.HEFEI_1.01LAC20BG112,20 区域,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],48,Relation
测点SGC.HEFEI_1.01LAC20BG112,LAC 主系统,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],49,Relation
20 区域,设备 BG113,部署,"['实施', '配置', '安排', '布置', '派遣']",[],50,Relation
设备 BG113,BG,设备类型是,"['设备类别', '设备分类', '属于类型', '类型归属']",[],51,Relation
设备 BG113,113,设备序列号是,"['唯一识别码', '设备唯一码', '设备编码', '序列标识']",[],52,Relation
测点SGC.HEFEI_1.01LAC20BG113,01LAC20BG113,的核心KKS码为,"['主要代码', '核心码', '核心标识', '核心编码']",[],53,Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,EC001,用于监测设备,"['监测工具', '监测系统', '监测设备', '监测装置']",[],54,Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,EC,用于监测的设备类型为,"['测量仪器', '监控工具', '传感装置', '检测装置', '监测设备']",[],55,Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,001,用于监测的设备序列号为,"['监测设备编号', '设备监测标识', '监测用序列号', '监测编号关联']",[],56,Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,DANYANG_2 电厂,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],57,Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,20 号机组,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],58,Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,10 区域,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],59,Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,MAY 主系统,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],60,Relation
HEFEI_2 电厂,02 号机组,包含,"['包含在内', '容纳', '包含', '涵盖', '包括']",[],61,Relation
02 号机组,PAC 主系统,配置,"['安排', '设置', '配备', '布置']",[],62,Relation
PAC 主系统,01 区域,划分,"['分类', '分割', '划分范围', '划分界限', '区分']",[],63,Relation
01 区域,设备 UC020,部署,"['实施', '配置', '安排', '布置', '派遣']",[],64,Relation
设备 UC020,UC,设备类型是,"['设备类别', '设备分类', '属于类型', '类型归属']",[],65,Relation
设备 UC020,020,设备序列号是,"['唯一识别码', '设备唯一码', '设备编码', '序列标识']",[],66,Relation
SGC.HEFEI_2.02PAC01UC020XQ01,02PAC01UC020XQ01,核心 KKS 码为,"['核心代码', '关键编码', '标识关联', '核心标识']",[],67,Relation
SGC.HEFEI_2.02PAC01UC020XQ01,XQ01,无效代码标识为,"['标记为无效', '标示为非法', '识别为无效', '标注为错误']",[],68,Relation
SGC.HEFEI_2.02PAC01UC020XQ01,循环水泵2变频器柜电机电流,功能描述为,"['实现功能', '执行作用', '承担职责', '提供服务']",[],69,Relation
SGC.HEFEI_2.02PAC01UC020XQ01,null,测量值单位为,"['单位制', '单位', '量纲', '测量单位', '标准单位']",[],70,Relation
SGC.HEFEI_2.02PAC01UC020XQ01,UC020,用于监测设备,"['监测工具', '监测系统', '监测设备', '监测装置']",[],71,Relation
SGC.HEFEI_2.02PAC01UC020XQ01,UC,用于监测的设备类型为,"['测量仪器', '监控工具', '传感装置', '检测装置', '监测设备']",[],72,Relation
SGC.HEFEI_2.02PAC01UC020XQ01,020,用于监测的设备序列号为,"['监测设备编号', '设备监测标识', '监测用序列号', '监测编号关联']",[],73,Relation
SGC.HEFEI_2.02PAC01UC020XQ01,HEFEI_2 电厂,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],74,Relation
SGC.HEFEI_2.02PAC01UC020XQ01,02 号机组,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],75,Relation
SGC.HEFEI_2.02PAC01UC020XQ01,01 区域,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],76,Relation
SGC.HEFEI_2.02PAC01UC020XQ01,PAC 主系统,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],77,Relation
CHUZHOU_1 电厂,10 号机组,包含,"['包含在内', '容纳', '包含', '涵盖', '包括']",[],78,Relation
10 号机组,MBY 主系统,配置,"['安排', '设置', '配备', '布置']",[],79,Relation
MBY 主系统,10 区域,划分,"['分类', '分割', '划分范围', '划分界限', '区分']",[],80,Relation
10 区域,设备 DU061,部署,"['实施', '配置', '安排', '布置', '派遣']",[],81,Relation
设备 DU061,DU,设备类型是,"['设备类别', '设备分类', '属于类型', '类型归属']",[],82,Relation
设备 DU061,061,设备序列号是,"['唯一识别码', '设备唯一码', '设备编码', '序列标识']",[],83,Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,10MBY10DU061XQ01,核心 KKS 码为,"['核心代码', '关键编码', '标识关联', '核心标识']",[],84,Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,XQ01,无效代码标识为,"['标记为无效', '标示为非法', '识别为无效', '标注为错误']",[],85,Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,null,功能描述为,"['实现功能', '执行作用', '承担职责', '提供服务']",[],86,Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,null,测量值单位为,"['单位制', '单位', '量纲', '测量单位', '标准单位']",[],87,Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,DU061,用于监测设备,"['监测工具', '监测系统', '监测设备', '监测装置']",[],88,Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,DU,用于监测的设备类型为,"['测量仪器', '监控工具', '传感装置', '检测装置', '监测设备']",[],89,Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,061,用于监测的设备序列号为,"['监测设备编号', '设备监测标识', '监测用序列号', '监测编号关联']",[],90,Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,CHUZHOU_1 电厂,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],91,Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,10 号机组,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],92,Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,10 区域,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],93,Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,MBY 主系统,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],94,Relation
SGC.HEFEI_2.02PAC01UC020XQ02,02PAC01UC020XQ02,核心 KKS 码为,"['核心代码', '关键编码', '标识关联', '核心标识']",[],95,Relation
SGC.HEFEI_2.02PAC01UC020XQ02,XQ02,无效代码标识为,"['标记为无效', '标示为非法', '识别为无效', '标注为错误']",[],96,Relation
SGC.HEFEI_2.02PAC01UC020XQ02,循环水泵2变频器柜电机电压,功能描述为,"['实现功能', '执行作用', '承担职责', '提供服务']",[],97,Relation
SGC.HEFEI_2.02PAC01UC020XQ02,null,测量值单位为,"['单位制', '单位', '量纲', '测量单位', '标准单位']",[],98,Relation
SGC.HEFEI_2.02PAC01UC020XQ02,UC020,用于监测设备,"['监测工具', '监测系统', '监测设备', '监测装置']",[],99,Relation
SGC.HEFEI_2.02PAC01UC020XQ02,UC,用于监测的设备类型为,"['测量仪器', '监控工具', '传感装置', '检测装置', '监测设备']",[],100,Relation
SGC.HEFEI_2.02PAC01UC020XQ02,020,用于监测的设备序列号为,"['监测设备编号', '设备监测标识', '监测用序列号', '监测编号关联']",[],101,Relation
SGC.HEFEI_2.02PAC01UC020XQ02,HEFEI_2 电厂,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],102,Relation
SGC.HEFEI_2.02PAC01UC020XQ02,02 号机组,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],103,Relation
SGC.HEFEI_2.02PAC01UC020XQ02,01 区域,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],104,Relation
SGC.HEFEI_2.02PAC01UC020XQ02,PAC 主系统,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],105,Relation
ZHOUKOU_2 电厂,20 号机组,包含,"['包含在内', '容纳', '包含', '涵盖', '包括']",[],106,Relation
20 号机组,LAE 主系统,配置,"['安排', '设置', '配备', '布置']",[],107,Relation
LAE 主系统,90 区域,划分,"['分类', '分割', '划分范围', '划分界限', '区分']",[],108,Relation
90 区域,设备 CF101,部署,"['实施', '配置', '安排', '布置', '派遣']",[],109,Relation
设备 CF101,CF,设备类型是,"['设备类别', '设备分类', '属于类型', '类型归属']",[],110,Relation
设备 CF101,101,设备序列号是,"['唯一识别码', '设备唯一码', '设备编码', '序列标识']",[],111,Relation
SGC.ZHOUKOU_2.20LAE90CF101_COMP,20LAE90CF101_COMP,核心 KKS 码为,"['核心代码', '关键编码', '标识关联', '核心标识']",[],112,Relation
SGC.ZHOUKOU_2.20LAE90CF101_COMP,_COMP,无效代码标识为,"['标记为无效', '标示为非法', '识别为无效', '标注为错误']",[],113,Relation
DANYANG_2.21MBV30CP901XG02,MBV 主系统,位于,"['处于', '置于', '定位', '所在地', '在...之中']",[],114,Relation
CHUZHOU_1 电厂,10 号机组,包含,"['包含在内', '容纳', '包含', '涵盖', '包括']",[],115,Relation
10 号机组,MBH 主系统,配置,"['安排', '设置', '配备', '布置']",[],116,Relation
MBH 主系统,22 区域,划分,"['分类', '分割', '划分范围', '划分界限', '区分']",[],117,Relation
22 区域,设备 CP102,部署,"['实施', '配置', '安排', '布置', '派遣']",[],118,Relation
设备 CP102,CP,设备类型是,"['设备类别', '设备分类', '属于类型', '类型归属']",[],119,Relation
设备 CP102,102,设备序列号是,"['唯一识别码', '设备唯一码', '设备编码', '序列标识']",[],120,Relation
测点SGC.CHUZHOU_1.10MBH22CP102XQ01,10MBH22CP102XQ01,的核心KKS码为,"['主要代码', '核心码', '核心标识', '核心编码']",[],121,Relation
测点SGC.CHUZHOU_1.10MBH22CP102XQ01,XQ01,无效代码标识为,"['标记为无效', '标示为非法', '识别为无效', '标注为错误']",[],122,Relation
测点SGC.CHUZHOU_1.10MBH22CP102XQ01,null,功能描述为,"['实现功能', '执行作用', '承担职责', '提供服务']",[],123,Relation
测点SGC.CHUZHOU_1.10MBH22CP102XQ01,null,测量值单位为,"['单位制', '单位', '量纲', '测量单位', '标准单位']",[],124,Relation
